ts	phase	decision	why	evidence	result
2026-09-02T21:26+01:00	gate-0	spend cap confirmed	required before Cloud Agent / overnight	user confirmed in Chief of Staff chat	unblocked
2026-09-02T21:30+01:00	maintain	Engineer one-off maintain dry-run	BOTS.md one-off before daily schedule	Control-Glass/tmp/verify-glass home-idle.png+aria (idle) and mark-ready.png+aria (ready); 2/2 clean; no PR; doctor ok	pass; daily 8am weekdays armed
2026-09-02T22:56+01:00	maintain	pause Grok Engineer daily maintain	Cursor Automation already owns maintain-verify-glass; do not duplicate	Engineer confirmed pause of 8am weekday routine	paused
2026-09-03T21:45+01:00	encode	gap-matrix P1 structural encode	Autopilot docs ahead of trust; dune footguns + decisions.tsv PR gate	feat/gap-encode-p1 Control-Glass+kitchen; bannersâ†’TRUST-NEXT; npm run dune-footguns; kitchen-ci same-PR row rule	pushed; human owns Enable/overnight/Bugbot
2026-09-04T00:35+01:00	bots	roster+registry drift fix	Riddler missing from kitchen BOTS; gates missing dune-footguns	profiles on disk + Control-Glass package.json	aligned pending sync_profiles
2026-09-04T05:52+01:00	overnight	Flashpeek overnight authorized (not Autopilot fleet)	Dark /poteto-mode Done means Phase1 APIs + Phase2 pack-shelf UI; draft PRs only	Harveyâ†’Tony queue; PR#1 already on main; companion phase2; TRUST-NEXT still not green	running; Dark plates on wake
2026-09-04T10:22+01:00	encode	handoff server bind localhost + CI gate	0.0.0.0 bind + no auth flagged â‰¥2x by Cursor Security Review (PR #5, #6); still on main	server.mjs 0.0.0.0 on main; security review comments on PR #5 + #6	draft PR; CI step no-0.0.0.0-listen added
2026-09-04T19:30+01:00	wake	overnight plated locally; Flashpeek #2 closed; #6 closed; encode continues local (Cloud On-Demand blocked)	TRUST-NEXT still not green for Autopilot	Flashpeek #2 closed; #6 closed; templates/product-bootstrap/gates; scripts/sync-bootstrap-gates.ps1	Autopilot BLOCKED
2026-09-05T16:55+01:00	encode	triage-subscribe \+ spend/self-host lessons	triage recipe \+ Other Models empty ~25d	triage-subscribe.md \+ spend-and-cloud	docs updated; Autopilot still BLOCKED; triage fail-closed without Slack
2026-09-05T17:05+01:00	encode	scrub operating prose to inspired-by	keep upstream skill names; drop author name-drops from kitchen ops docs	README naming system-map PUBLIC AGENTS triage	docs updated; essay archives keep source headers
2026-09-05T19:10+01:00	eval	verify-glass baseline drive (blinded packs)	user asked to run evals now; no skill variant planted	south=agent grok pass tmp/glass-south; north=parent shell pass tmp/glass-north; fable+gpt judge blocked unpaid invoice; rubric local/glass-drive-rubric.md	baseline PASS; promote current eyes; multi-model matrix deferred
2026-09-06T00:55+01:00	encode	fleet-board + BOTS roster pointers	Engineer Bot CLEAN/board-first adapted into kitchen; BOTS.md points at fleet-board	docs/fleet-board.md + automations/grok-bot/BOTS.md on PR #17	encoded; Autopilot still BLOCKED until TRUST-NEXT
2026-09-07T00:50+01:00	encode	close-loop smell ledger	every turn captures / second smell encodes	scripts/close-loop.mjs + hooks + smells.tsv	local+grok share one writer
2026-09-07T01:20+01:00	encode	verify-factory header + SETUP-CLICK prompt	kitchen audit found doctor/header drift and stale Friday paste	verify-factory SKILL.md + SETUP-CLICK.md match ledger and weekly prompt	encoded
2026-09-07T01:27+01:00	encode	restamp GAP-MATRIX stale cells	grok audit proved 8 bots, YAML drafts not live, Bugbot proven, 4 Glass features	docs/GAP-MATRIX.md 7 Sep	encoded
2026-09-07T01:31+01:00	encode	close-loop PR opened	kitchen ledger was dirty on main	https://github.com/Dahhrk/dark-factory/pull/19	ready PR; you merge
2026-09-07T01:34+01:00	setup	automation forms opened not Enabled	agent cannot Enable on the account	SETUP-CLICK three prefills + SETUP-STATUS gate 6	ENABLE still you
2026-09-07T01:42+01:00	overnight	Control-Glass looks Feature Map	TRUST-NEXT first overnight-shaped unit	https://github.com/Dahhrk/Control-Glass/pull/17	draft; you merge in the morning
2026-09-09T16:40+01:00	encode	seat SureForge as optional named Cursor+Devin mode	Dark approved after dig; heavy multi-step/QC only; not factory OS	Da7-Tech/SureForge 1.0.0; docs/sureforge.md PR	PR open; human plates; Autopilot still BLOCKED
2026-09-10T15:45+01:00	encode	seat pstack Pt. 2 supervise recipe	Dark asked kitchen recipe from poteto X Article; encode patterns only; not Autopilot	https://x.com/i/article/2094940651607715840; docs/pstack-pt2-supervise.md	PR open; human plates; Autopilot still BLOCKED
2026-09-10T17:48+01:00	encode	seat Kargul craft bar recipe	Dark asked kitchen encode + Walter route for studio UI density; patterns only	https://kargul.studio; docs/kargul-craft-bar.md; Walter Done means 1-3 rules	PR open; human plates; Autopilot still BLOCKED
2026-09-11T04:03+01:00	encode	devin factory plugins recipe + Glass discovery wire	marketplace install path, org/personal require, plate path documented; product repos get thin pointer not vendored skills	docs/devin-factory-plugins.md; Control-Glass draft PR 21; plugins lock.json org+user managed requirements resolved at 1dcb4bc	draft PRs; you merge
2026-09-15T19:10+01:00	encode	devin outer loop routines	Grok Bot routines existed only on the other lane; Devin gets equivalent playbooks + deterministic needs-you sweep	automations/devin/ routines; scripts/needs-you.mjs; DarkFactoryNeedsYou task	draft PR; human plates
2026-09-15T19:25+01:00	doc	devin capability map in outer-loop README	verified stack doc shows bots/listeners/channels do not port; memory tiers already exist as repo files	automations/devin/README.md capability table + ACU cost note	draft PR; human plates
2026-09-15T20:45+01:00	encode	seat pstack AMA ops recipe	Dark asked factory-ops encode from poteto AMA; patterns only; not Autopilot; Tony owns setup-pstack	https://x.com/poteto/status/2098634643323142286; docs/pstack-ama-ops.md	encoded; human plates; Autopilot still BLOCKED
2026-09-15T19:45+01:00	encode	devin fleet - profiles + scheduler + inbox bus	sessions API and CLI spawn are plan-gated; file-bus fleet gives routines+SendToAgent honestly	fleetd.mjs tested (3 fired, dedupe ok); DarkFactoryFleet task 15min; drain-inbox playbook	draft PR; human plates
2026-09-15T21:50+01:00	encode	seat Cursor Projects × pstack map	Dark ordered gap close; inner coordinator only; not Autopilot	https://x.com/cursor_ai/status/2098162488013455784; https://x.com/poteto/status/2098165460714057863; docs/cursor-projects-pstack.md; PR #48 absorb	encoded; human plates; Autopilot still BLOCKED
2026-09-15T21:50+01:00	encode	seat Galaxy + Rob Shocks thin recipes	Dark ordered AMA ops gap close; watch/alignment only; video not transcribed	https://x.com/poteto/status/2099875666313527436; https://x.com/robshocks/status/2097381547493978562; docs/pstack-galaxy-livestream.md; docs/pstack-robshocks-breakdown.md; PR #48 absorb	encoded; human plates; Autopilot still BLOCKED
2026-09-15T19:55+01:00	encode	fleet event poll + runtime playbook	no push listeners or spawn API on this plan; 15-min local poll + pinned-session box cover the gap	fleetd heard 21 signals on first run, dedupe armed; routines/fleet-runtime.md	draft PR; human plates
2026-09-15T20:07:44.443Z	encode	close-loop decision subcommand heals BOM	hand appends on Windows reintroduced UTF-8 BOM after 4ad72f7 strip; kitchen-ci header grep is exact-match	PR 49 visibility fail on merge ref f7d9ffe; smells.tsv rows 27-28 also malformed	one append path for decisions.tsv; strips BOM on read, writes plain utf8
2026-09-15T23:00:44.588Z	build	fleet session routines execute via devin acp not REST	sessions API 403 on individual plan; devin.exe acp authenticates with PKCE credential and exposes session/new+prompt over stdio	acp-run.mjs --check ok; spawned vigorous-raptorex+grizzly-gazelle; log.tsv spawned rows	session routines self-execute on swe-2-max; inbox fallback on spawn failure
2026-09-19T01:59:41.527Z	factory-sync	gate-sync + pack-mirror as weekly script routines before weekly-encode	gate copies and skill twins were hand-synced each batch; automation opens the propagation PRs	scripts/sync-gates.mjs + sync-packs.mjs, ted.yaml routines	both --check clean on current state
2026-09-22T01:49:18.593Z	build	jev.mjs: TypeSafe Jev caller with pr-risk and smell presets	cheap calibrated judge primitive (~100ms, ~$0.0002/call) for merge-queue triage and ledger pre-filtering - previously every judgment cost a full agent call	smoke test on PR63 diff: risk 1.54 routine/risky split, needs_human 0.89, medium size - calibrated; smell preset picked gate 0.94 for a gate fix	both presets return typed answers with probabilities and confidence
2026-09-22T02:10:44.019Z	rename	kitchen records point at open-bot	product repo moved to Dahhrk/open-bot with wire id platform:open-bot; sibling repos haunt-packs/teams/releases keep their names	docs/haunt.md renamed to open-bot.md, sync-gates FACTORY_REPOS, pack skill repo lists, sync-plugin-cache sibling env all updated	zero stale product refs outside historical ledger rows
2026-09-23T17:14	drift-guard	parity port + leak gate	devin pstack carried cursor mechanics verbatim; upstream watcher found 0.15.3	plugins#TBD devin#TBD	pending
2026-09-23T19:43+01:00	keep-up	document code defaults and reverse drift CI	shipping bar and twin CI notes were missing; automation drift-guard needed the reverse-check and secret fallback note	docs/factory-code-defaults.md pr-workflow keep-up language-conventions GAP-MATRIX drift-guard.md; dark-factory#73	PR open; kitchen-ci should pass with this ledger row
2026-09-24T22:07	keep-up	seat zcode-factory as fourth twin	ZCode/GLM-5.3 lane authorized; twin seeded at zcode-factory#1; drift-guard needed the fourth repo and its structural check	docs/factory-keep-up.md docs/language-conventions.md docs/factory-code-defaults.md automations/devin/routines/drift-guard.md; zcode-factory#1	merged; kitchen #75 plugins #51/#52 zcode #1 plug #5
